movieId,title,genres
7089,Amarcord (1973),Comedy|Drama
198267,Black Sheep (2018),Documentary
8017,10 Rillington Place (1971),Crime|Drama|Thriller
102,Mr. Wrong (1996),Comedy
132311,Yellow Jack (1938),(no genres listed)
25744,Haxan: Witchcraft Through the Ages (a.k.a. The Witches) (1922),Documentary|Horror
197771,Long-Haired Hare (1949),Animation|Children|Comedy
6477,"Song of Bernadette, The (1943)",Drama
171779,Glass (1958),Documentary
3875,"Devil Rides Out, The (1968)",Horror
203124,Loss of Feeling (1935),Fantasy|Sci-Fi
6996,Highlander II: The Quickening (1991),Action|Sci-Fi
105133,Repeaters (2010),Action|Drama
484,Lassie (1994),Adventure|Children
169842,The Shack (2017),Drama|Fantasy
34226,"Time to Love and a Time to Die, A (1958)",Drama|Romance|War
96079,Skyfall (2012),Action|Adventure|Thriller|IMAX
138088,Probable Cause (1994),Action|Crime|Drama
53004,Delta Farce (2007),Action|Adventure|Comedy
27829,Slasher (2004),Documentary
178089,Josie's Castle (1971),Drama
179161,Lung Fung Restaurant (1990),(no genres listed)
135813,The Victim (1980),Action|Drama
166838,Mystery House (1938),Mystery
91026,Fright (1972),Crime|Horror|Thriller
130382,Mr. Pip (2012),Drama|War
138160,Crackie (2009),Drama
182103,Contrary Condor (1944),Animation
5373,"Cranes Are Flying, The (Letyat zhuravli) (1957)",Drama|Romance|War
103676,My Avatar and Me (Min Avatar og mig) (2010),Documentary
202866,Roger Corman: Hollywood's Wild Angel (1978),Documentary
111944,Black Nativity (2013),Drama|Musical
45517,Cars (2006),Animation|Children|Comedy
159053,In Her Line of Fire (2006),Action|Drama|Thriller
61250,"House Bunny, The (2008)",Comedy
116024,Northern Soul (2014),Drama
151145,She Devil (1957),Horror|Sci-Fi
109420,Mater and the Ghostlight (2006),Animation|Children|Comedy
1434,"Stranger, The (1994)",Action
192567,Problem Child: Leslie Jones (2010),Comedy
103301,Liz & Dick (2012),Drama
146574,Asignatura pendiente (1977),Drama
155141,Parugu (2008),Comedy|Drama
205469,Yugotrip (2004),Drama
130356,Tribulation (2000),Drama|Sci-Fi|Thriller
152674,As the Palaces Burn (2014),Documentary|Musical
115170,"Judge, The (2014)",Drama
168484,Over the Hill (1992),Comedy
625,Asfour Stah (1990),Drama
125021,Kidco (1984),Comedy
161632,Protagonist (2007),Documentary
186229,Cat Girl Kiki (2006),Drama|Sci-Fi
188861,I Used to Be Darker (2013),Drama
8407,"Molly Maguires, The (1970)",Drama
209139,Rimsky-Korsakov (1953),Drama
2035,Blackbeard's Ghost (1968),Children|Comedy
93909,Yumurta (Egg) (2007),Drama
1996,Poltergeist III (1988),Horror|Thriller
167808,Fear of the Flesh: The Making of The Fly (2005),Documentary
124418,Lonesome Cowboys (1968),Western
66015,Passchendaele (2008),Action|Drama|Romance|War
8738,"Woman Is a Woman, A (femme est une femme, Une) (1961)",Comedy|Drama|Musical|Romance
203481,Endless Night (1972),Crime|Mystery|Thriller
164544,Imperial Dreams (2014),(no genres listed)
181197,Zubeidaa (2001),Drama|Romance
133351,A Trick of Light (1995),Drama
173011,Lost Continent (1951),Sci-Fi
141353,Who's Minding The Mint? (1967),Comedy|Romance
47384,Zoom (2006),Adventure|Comedy|Drama|Fantasy
124194,The Risk (1960),Drama|Thriller
150082,K3 en het IJsprinsesje (2006),Children
1903,Hav Plenty (1997),Comedy
166637,Van Gogh: Brush with Genius (2009),Documentary
27193,Taxi 2 (2000),Action|Comedy
174487,"Don't Hug Me, I'm Scared (2011)",Animation|Fantasy|Horror
166419,Road to La Paz (2015),Drama
146094,Gaiir (2009),(no genres listed)
166984,The Tobacconist of Vallecas (1987),Comedy|Drama
111745,"Cabinet of Caligari, The (1962)",Thriller
115068,"Bride from Hades, The (Botan-dôrô) (Peony Lantern) (Tale of Peonies and Lanterns, A) (1968)",Horror
34334,Stealth (2005),Action|Adventure|Sci-Fi|Thriller
148614,So Evil My Love (1948),Drama
124257,Run for the Sun (1956),Action|Drama|Thriller
18,Four Rooms (1995),Comedy
